Dataset,Model,Accuracy,Macro Avg F1,Weighted Avg F1
Original,KNN,0.13497390007457122,0.12764058104083442,0.1329048472684857
Original,Random Forest,0.13646532438478748,0.12789485004952794,0.13668369060329527
Original,Naive Bayes,0.1715137956748695,0.07974153883075379,0.09345667490539605
Original,Decision Tree,0.1319910514541387,0.12406576696483083,0.13231249577160897
Original,XGBoost,0.15361670395227442,0.12590222102740276,0.1372466305113767
Original,Tuned RF,0.168530947054437,0.1326291739589649,0.14582969444193503
Original,SVM (RBF),0.1931394481730052,0.10174379530945755,0.12066786699167396
Original,Gradient Boosting,0.16181953765846382,0.12527933594445304,0.13800667845331868
Original,AdaBoost,0.18866517524235646,0.09635672845820965,0.11369919167582998
